temperature_C,method,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
0,Coulomb Counting,LA92,8267,0.0977,0.1157,0.2444,0.2011,0.2169,-0.1994
0,Filtered CNN-LSTM Teacher,LA92,8208,0.8529,1.0365,4.1017,2.0266,2.7137,-0.5405
0,Filtered Distilled Tiny CNN-LSTM,LA92,8208,2.7209,3.5264,11.3385,7.0936,10.7841,1.0408
0,Filtered Tiny CNN-LSTM Student,LA92,8208,1.9188,3.3315,13.0701,8.7916,12.5118,2.6927
0,Filtered-feature MLP,LA92,8267,0.856,1.0231,6.2075,1.9057,2.8638,3.0289
0,Instantaneous MLP,LA92,8267,2.0224,2.6709,12.2458,5.3454,7.2697,4.3107
0,LSTM,LA92,8208,1.1053,1.3088,3.3804,2.3748,2.8694,2.272
0,Coulomb Counting,NN,6328,0.0975,0.1105,0.2537,0.1717,0.2048,0.0675
0,Filtered CNN-LSTM Teacher,NN,6269,1.806,2.6988,13.001,6.3108,9.6798,-2.0502
0,Filtered Distilled Tiny CNN-LSTM,NN,6269,2.8429,3.315,10.8533,5.7644,8.9616,0.1525
0,Filtered Tiny CNN-LSTM Student,NN,6269,1.8259,2.8455,12.5833,7.1203,10.6948,1.6789
0,Filtered-feature MLP,NN,6328,1.3587,1.5908,6.0948,2.8796,3.5411,1.1543
0,Instantaneous MLP,NN,6328,2.9943,3.9385,39.1529,7.8957,12.2103,5.4474
0,LSTM,NN,6269,0.9748,1.2296,5.9794,2.3711,3.1367,1.5422
0,Coulomb Counting,UDDS,12853,0.0292,0.0345,0.0973,0.059,0.0819,-0.0819
0,Filtered CNN-LSTM Teacher,UDDS,12794,0.9932,1.4697,5.5375,3.4851,4.5864,0.4788
0,Filtered Distilled Tiny CNN-LSTM,UDDS,12794,2.1746,3.0328,11.1532,6.6653,10.5345,1.6178
0,Filtered Tiny CNN-LSTM Student,UDDS,12794,1.627,3.0012,12.884,8.3691,12.268,3.2876
0,Filtered-feature MLP,UDDS,12853,0.7388,0.9699,5.3252,1.8906,3.0,3.5398
0,Instantaneous MLP,UDDS,12853,1.5668,2.1588,22.7045,4.4849,5.9929,4.5686
0,LSTM,UDDS,12794,0.6066,0.7967,3.0554,1.6332,2.4049,3.0247
10,Coulomb Counting,LA92,12596,0.1189,0.1264,0.2196,0.1736,0.1895,-0.0987
10,Filtered CNN-LSTM Teacher,LA92,12537,0.6911,0.8153,2.862,1.5075,2.043,1.2236
10,Filtered Distilled Tiny CNN-LSTM,LA92,12537,1.5963,2.1061,9.1116,3.7365,7.5297,4.0204
10,Filtered Tiny CNN-LSTM Student,LA92,12537,0.8406,1.135,5.0073,2.219,4.1995,-0.9288
10,Filtered-feature MLP,LA92,12596,0.5055,0.6923,4.9023,1.4907,2.2201,0.2245
10,Instantaneous MLP,LA92,12596,1.9387,2.7808,34.8631,5.6507,9.8271,3.0279
10,LSTM,LA92,12537,0.7282,0.956,5.4748,1.9702,2.7136,-0.413
10,Coulomb Counting,NN,10511,0.125,0.136,0.2802,0.2086,0.2291,-0.2291
10,Filtered CNN-LSTM Teacher,NN,10452,0.7276,0.9501,3.361,1.8709,2.5707,1.1494
10,Filtered Distilled Tiny CNN-LSTM,NN,10452,1.5482,2.0423,8.1255,4.2193,6.2069,2.4186
10,Filtered Tiny CNN-LSTM Student,NN,10452,0.6135,0.8513,4.5649,1.7785,2.8014,-0.5327
10,Filtered-feature MLP,NN,10511,0.4723,0.6316,3.5514,1.3355,1.9394,0.465
10,Instantaneous MLP,NN,10511,2.3173,3.0308,33.6941,5.7838,8.839,1.8412
10,LSTM,NN,10452,0.7207,0.9426,3.9852,1.959,2.7493,0.0924
10,Coulomb Counting,UDDS,21047,0.072,0.0771,0.1517,0.1107,0.1204,-0.0968
10,Filtered CNN-LSTM Teacher,UDDS,20988,1.2044,1.5993,6.9716,3.2345,4.1843,6.9716
10,Filtered Distilled Tiny CNN-LSTM,UDDS,20988,2.1309,2.9522,12.608,6.2389,8.3519,12.608
10,Filtered Tiny CNN-LSTM Student,UDDS,20988,0.9458,1.32,4.8989,2.8322,4.6413,4.6475
10,Filtered-feature MLP,UDDS,21047,0.92,1.0984,4.3011,1.9354,2.4962,3.18
10,Instantaneous MLP,UDDS,21047,1.9241,2.5606,16.2153,5.2007,7.4918,7.0434
10,LSTM,UDDS,20988,0.8738,1.0472,4.1267,1.8786,2.4276,1.0484
