train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,25,test,Instantaneous MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,1.3107,1.6465,13.8947,3.0842,4.0785,4.0785,within_25degC
25,25,test,Instantaneous MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,1.4027,1.8858,16.7613,3.6943,5.9012,1.4972,within_25degC
25,25,test,Instantaneous MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,1.8466,2.4267,25.5912,4.5601,7.6376,0.2793,within_25degC
25,25,test,Filtered-feature MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,0.6263,0.7389,4.1486,1.3156,1.6289,1.6287,within_25degC
25,25,test,Filtered-feature MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,0.359,0.4719,3.1469,0.9528,1.379,-0.6577,within_25degC
25,25,test,Filtered-feature MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,0.4361,0.5794,4.2901,1.1536,1.7701,-0.919,within_25degC
25,25,test,LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,5825.0,0.683,0.7867,2.2236,1.3578,1.6473,-0.2968,within_25degC
25,25,test,LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,5825.0,0.3822,0.496,3.3136,0.9875,1.4794,-0.7217,within_25degC
25,25,test,LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,5825.0,0.4865,0.6249,4.6304,1.1893,1.8251,0.4342,within_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,48769.0,0.8844,1.0685,3.4744,2.0243,2.4537,2.4259,within_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,48769.0,0.5794,0.7382,4.088,1.4605,2.0342,0.3258,within_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,48769.0,0.6515,0.8601,6.835,1.7461,2.5387,-0.1585,within_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,1.346,1.749,6.409,3.5537,4.6041,1.678,within_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,1.4163,1.8413,6.6703,3.6662,5.2891,-0.2873,within_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,1.4008,1.7457,7.4713,3.5691,4.5446,1.3524,within_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.9416,1.2166,4.5011,2.4056,3.3164,1.4281,within_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.8504,1.1739,7.0011,2.4954,3.7393,-0.0047,within_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,0.971,1.2586,5.5187,2.5394,3.3871,-0.4932,within_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,50689.0,0.8257,0.9764,4.6715,1.8308,2.4974,1.5528,within_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,50689.0,0.4146,0.5298,2.3254,1.0467,1.4937,-0.5251,within_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,50689.0,0.4367,0.5704,2.9589,1.1936,1.6794,-0.6787,within_25degC
25,25,test,Filtered Tiny CNN-LSTM Student,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3841.0,0.6375,0.8044,3.115,1.5771,1.9722,1.66,within_25degC
25,25,test,Filtered Tiny CNN-LSTM Student,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3841.0,0.3328,0.5317,3.256,0.9122,2.3834,-0.0144,within_25degC
25,25,test,Filtered Tiny CNN-LSTM Student,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3841.0,0.3683,0.4916,2.5966,1.0477,1.3469,-0.4155,within_25degC
25,25,test,Filtered Distilled Tiny CNN-LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3841.0,0.8295,1.027,3.7665,1.8848,2.3626,1.1423,within_25degC
25,25,test,Filtered Distilled Tiny CNN-LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3841.0,0.5214,0.7361,3.9188,1.2429,2.9354,-0.8855,within_25degC
25,25,test,Filtered Distilled Tiny CNN-LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3841.0,0.4674,0.6259,3.3753,1.2457,2.0381,-0.8018,within_25degC
10,10,test,Instantaneous MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,1.9387,2.7808,34.8631,5.6507,9.8271,3.0279,within_10degC
10,10,test,Instantaneous MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,2.3173,3.0308,33.6941,5.7838,8.839,1.8412,within_10degC
10,10,test,Instantaneous MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,1.9241,2.5606,16.2153,5.2007,7.4918,7.0434,within_10degC
10,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,0.5055,0.6923,4.9023,1.4907,2.2201,0.2245,within_10degC
10,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,0.4723,0.6316,3.5514,1.3355,1.9394,0.465,within_10degC
10,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,0.92,1.0984,4.3011,1.9354,2.4962,3.18,within_10degC
10,10,test,LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,5825.0,0.5852,0.7978,7.6571,1.6597,2.3983,-0.0923,within_10degC
10,10,test,LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,5825.0,0.7466,0.9154,5.5943,1.6422,2.3359,0.515,within_10degC
10,10,test,LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,5825.0,0.8999,1.085,3.7725,1.9403,2.7113,-0.3911,within_10degC
10,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,48769.0,0.7979,1.0837,6.4016,2.2829,3.582,-1.261,within_10degC
10,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,48769.0,1.0704,1.3372,6.8714,2.457,3.6918,-2.1355,within_10degC
10,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,48769.0,1.3108,1.6959,6.4698,3.6633,4.5809,6.4698,within_10degC
10,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,1.1741,1.49,7.0943,3.0663,3.872,-0.4701,within_10degC
10,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3361.0,1.01,1.3139,6.2218,2.7419,3.6843,-0.4658,within_10degC
10,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3361.0,1.6385,2.2677,11.5815,4.6332,8.0635,11.5675,within_10degC
10,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,0.9845,1.3856,6.2864,3.303,4.1878,-3.0368,within_10degC
