train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,25,test_pooled,Instantaneous MLP,POOLED_TEST_SAMPLES,test_pooled,48206,,1.4676,1.9311,25.5912,3.6411,5.6813,0.2793,within_25degC
25,25,test_pooled,Filtered-feature MLP,POOLED_TEST_SAMPLES,test_pooled,48206,,0.502,0.6328,4.2901,1.232,1.6187,-0.919,within_25degC
25,25,test_pooled,LSTM,POOLED_TEST_SAMPLES,test_pooled,48029,5825.0,0.4923,0.6297,4.9238,1.2483,1.6929,0.1823,within_25degC
25,25,test_pooled,CNN-LSTM Teacher,POOLED_TEST_SAMPLES,test_pooled,48029,48769.0,0.907,1.1044,6.927,2.0818,2.7754,-0.0752,within_25degC
25,25,test_pooled,Tiny CNN-LSTM Student,POOLED_TEST_SAMPLES,test_pooled,48029,3361.0,0.8478,1.0686,6.7315,2.1001,2.8524,0.181,within_25degC
25,25,test_pooled,Distilled Tiny CNN-LSTM,POOLED_TEST_SAMPLES,test_pooled,48029,3361.0,0.929,1.2951,6.9673,2.6747,4.8536,-0.1075,within_25degC
25,25,test_pooled,Filtered CNN-LSTM Teacher,POOLED_TEST_SAMPLES,test_pooled,48029,50689.0,0.6254,0.8893,4.4125,1.9688,2.5899,0.6405,within_25degC
25,25,test_pooled,Filtered Tiny CNN-LSTM Student,POOLED_TEST_SAMPLES,test_pooled,48029,3841.0,0.733,0.9657,4.363,1.8836,2.9143,-2.3342,within_25degC
25,25,test_pooled,Filtered Distilled Tiny CNN-LSTM,POOLED_TEST_SAMPLES,test_pooled,48029,3841.0,0.8025,1.0767,4.6437,2.2253,3.229,-1.3256,within_25degC
10,10,test_pooled,Instantaneous MLP,POOLED_TEST_SAMPLES,test_pooled,44154,,2.0219,2.7419,34.8631,5.4909,8.556,7.0434,within_10degC
10,10,test_pooled,Filtered-feature MLP,POOLED_TEST_SAMPLES,test_pooled,44154,,0.6952,0.8982,4.9023,1.7482,2.3508,3.18,within_10degC
10,10,test_pooled,LSTM,POOLED_TEST_SAMPLES,test_pooled,43977,5825.0,0.8165,1.0547,7.6221,2.1619,3.106,-2.4306,within_10degC
10,10,test_pooled,CNN-LSTM Teacher,POOLED_TEST_SAMPLES,test_pooled,43977,48769.0,0.9852,1.3934,7.5319,3.1895,4.5384,7.5319,within_10degC
10,10,test_pooled,Tiny CNN-LSTM Student,POOLED_TEST_SAMPLES,test_pooled,43977,3361.0,1.1753,1.6757,9.3571,3.4885,6.05,8.9565,within_10degC
10,10,test_pooled,Distilled Tiny CNN-LSTM,POOLED_TEST_SAMPLES,test_pooled,43977,3361.0,1.4459,1.9802,9.4232,4.3025,6.5141,8.9951,within_10degC
