train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,25,test,Instantaneous MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,1.3107,1.6465,13.8947,3.0842,4.0785,4.0785,within_25degC
25,25,test,Instantaneous MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,1.4027,1.8858,16.7613,3.6943,5.9012,1.4972,within_25degC
25,25,test,Instantaneous MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,1.8466,2.4267,25.5912,4.5601,7.6376,0.2793,within_25degC
25,25,test,Filtered-feature MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,0.6263,0.7389,4.1486,1.3156,1.6289,1.6287,within_25degC
25,25,test,Filtered-feature MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,0.359,0.4719,3.1469,0.9528,1.379,-0.6577,within_25degC
25,25,test,Filtered-feature MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,0.4361,0.5794,4.2901,1.1536,1.7701,-0.919,within_25degC
25,25,test,LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,5825.0,0.5539,0.6905,2.447,1.3105,1.7469,0.9297,within_25degC
25,25,test,LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,5825.0,0.3709,0.4956,2.8499,1.0387,1.498,-0.1681,within_25degC
25,25,test,LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,5825.0,0.52,0.6511,4.9238,1.2177,1.7223,0.1823,within_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,48769.0,1.044,1.2124,4.3035,2.2029,2.7719,3.39,within_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,48769.0,0.7238,0.9053,4.8179,1.7742,2.4283,0.8107,within_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,48769.0,0.8646,1.1052,6.927,2.1281,3.2054,-0.0752,within_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.9272,1.1347,4.414,2.1663,2.8378,2.971,within_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.738,0.9607,6.7315,1.9097,2.8386,0.8128,within_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,0.8275,1.0612,5.6017,2.1348,2.8866,0.181,within_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.8588,1.2114,6.3697,2.3289,4.2527,0.6332,within_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.9058,1.3315,6.9673,2.6416,5.2996,-1.1085,within_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,1.0917,1.4017,6.6078,2.8694,4.0793,-0.1075,within_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,50689.0,0.7863,1.0787,4.4125,2.1942,2.9632,4.4125,within_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,50689.0,0.4324,0.6308,2.594,1.4635,2.04,2.2859,within_25degC
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,50689.0,0.5488,0.7408,2.9444,1.5537,2.0437,0.6405,within_25degC
25,25,test,Filtered Tiny CNN-LSTM Student,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3841.0,0.7508,0.978,4.363,1.7903,3.246,4.3584,within_25degC
25,25,test,Filtered Tiny CNN-LSTM Student,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3841.0,0.5649,0.7805,4.0155,1.3749,2.9598,0.8929,within_25degC
25,25,test,Filtered Tiny CNN-LSTM Student,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3841.0,0.9013,1.13,3.7584,2.2808,2.8366,-2.3342,within_25degC
25,25,test,Filtered Distilled Tiny CNN-LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3841.0,0.9228,1.2114,4.153,2.4107,3.2657,0.7978,within_25degC
25,25,test,Filtered Distilled Tiny CNN-LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3841.0,0.6727,0.9244,4.2978,1.777,3.295,-0.1619,within_25degC
25,25,test,Filtered Distilled Tiny CNN-LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3841.0,0.7281,0.9669,4.6437,1.9384,3.0083,-1.3256,within_25degC
10,10,test,Instantaneous MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,1.9387,2.7808,34.8631,5.6507,9.8271,3.0279,within_10degC
10,10,test,Instantaneous MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,2.3173,3.0308,33.6941,5.7838,8.839,1.8412,within_10degC
10,10,test,Instantaneous MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,1.9241,2.5606,16.2153,5.2007,7.4918,7.0434,within_10degC
10,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,0.5055,0.6923,4.9023,1.4907,2.2201,0.2245,within_10degC
10,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,0.4723,0.6316,3.5514,1.3355,1.9394,0.465,within_10degC
10,10,test,Filtered-feature MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,0.92,1.0984,4.3011,1.9354,2.4962,3.18,within_10degC
10,10,test,LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,5825.0,0.5961,0.8124,7.6221,1.6556,2.398,0.6236,within_10degC
10,10,test,LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,5825.0,0.8495,1.0587,6.2816,2.084,2.8492,1.1447,within_10degC
10,10,test,LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,5825.0,0.9317,1.1741,4.1825,2.429,3.2614,-2.4306,within_10degC
10,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,48769.0,0.7702,0.9722,6.1509,1.8442,2.6612,-0.1633,within_10degC
10,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,48769.0,0.737,1.0027,6.599,2.0853,3.1973,-0.6452,within_10degC
10,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,48769.0,1.2372,1.7329,7.5319,3.7805,5.0791,7.5319,within_10degC
10,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,0.8732,1.1477,6.844,2.313,3.1887,-0.3047,within_10degC
10,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3361.0,1.0998,1.4017,6.1861,2.7534,4.0317,-0.4748,within_10degC
10,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3361.0,1.3933,2.0294,9.3571,4.6105,6.9586,8.9565,within_10degC
10,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,1.1464,1.5368,5.9828,3.0357,5.1737,1.3636,within_10degC
