train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
none,0,test,Coulomb Counting,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,,0.0977,0.1157,0.2444,0.2011,0.2169,-0.1994
none,0,test,Coulomb Counting,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,0.0975,0.1105,0.2537,0.1717,0.2048,0.0675
none,0,test,Coulomb Counting,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,0.0292,0.0345,0.0973,0.059,0.0819,-0.0819
none,10,test,Coulomb Counting,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,,0.1189,0.1264,0.2196,0.1736,0.1895,-0.0987
none,10,test,Coulomb Counting,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,,0.125,0.136,0.2802,0.2086,0.2291,-0.2291
none,10,test,Coulomb Counting,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,,0.072,0.0771,0.1517,0.1107,0.1204,-0.0968
none,25,test,Coulomb Counting,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,0.1112,0.1226,0.2393,0.2076,0.214,0.1218
none,25,test,Coulomb Counting,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,0.1177,0.1285,0.2339,0.1853,0.2,-0.1663
none,25,test,Coulomb Counting,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,0.0414,0.049,0.1464,0.0895,0.1261,-0.1261
25,25,test,Instantaneous MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,1.3107,1.6465,13.8947,3.0842,4.0785,4.0785
25,25,test,Instantaneous MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,1.4027,1.8858,16.7613,3.6943,5.9012,1.4972
25,25,test,Instantaneous MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,1.8466,2.4267,25.5912,4.5601,7.6376,0.2793
25,25,test,Filtered-feature MLP,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,,0.6263,0.7389,4.1486,1.3156,1.6289,1.6287
25,25,test,Filtered-feature MLP,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,,0.359,0.4719,3.1469,0.9528,1.379,-0.6577
25,25,test,Filtered-feature MLP,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,,0.4361,0.5794,4.2901,1.1536,1.7701,-0.919
25,25,test,LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,5825.0,0.8423,0.9916,3.0327,1.8205,2.353,2.5556
25,25,test,LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,5825.0,0.5565,0.7335,3.4392,1.5155,2.2073,0.8882
25,25,test,LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,5825.0,0.7007,0.8857,3.863,1.7791,2.3433,0.238
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,50689.0,0.9088,1.0051,2.5364,1.7329,2.0253,1.8379
25,25,test,Filtered CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,50689.0,0.4333,0.552,2.5837,1.0534,1.6854,-0.1417
