method,bin,sample_count,rmse_percent,mae_percent,p95_abs_error_percent,mean_abs_current_A,mean_dynamic_intensity_A_per_s
Terminal-voltage lookup,Low,17358,2.326039672063759,1.559837159635093,4.703670754089622,0.0849474219380113,0.4568333472245604
Terminal-voltage lookup,Medium,17231,5.359766243444969,4.52789453980228,9.847476037964118,0.7708431042887819,0.5438282909435218
Terminal-voltage lookup,High,18424,14.90383584262718,12.78539424899439,27.872264770024344,3.0856296998480244,0.8891212951753732
OCV-corrected CC,Low,17358,0.08135512046931312,0.05773957370389518,0.15010867528690558,0.0849474219380113,0.4568333472245604
OCV-corrected CC,Medium,17229,0.07000970719459429,0.05394178239850628,0.13600004740260158,0.7707745609147368,0.543830070036142
OCV-corrected CC,High,18426,0.056081334776661135,0.03991284439374779,0.12929698249624177,3.0854425382611526,0.889082152768165
Filtered-feature MLP,Low,16415,0.600811647781291,0.47964089337405735,1.2199577529313033,0.08634452025586353,0.4249272314852406
Filtered-feature MLP,Medium,16489,0.6218317680831931,0.506842786998696,1.173884907005603,0.7691697786403057,0.4869622513307982
Filtered-feature MLP,High,15302,0.6689308556971464,0.5239749026534464,1.314107860629877,2.855449272644099,0.7031452964713922
Filtered CNN-LSTM Teacher,Low,16290,0.7324882661838072,0.5362361781022045,1.4894387572716126,0.08619455801104972,0.4259180847064427
Filtered CNN-LSTM Teacher,Medium,16471,0.6675143550592877,0.479814564795972,1.4541401961754161,0.7687283067209035,0.486916012413844
Filtered CNN-LSTM Teacher,High,15268,0.6942005620954098,0.50341659435926,1.522756645465732,2.8542453818443803,0.7032236215311063
