method,bin,sample_count,rmse_percent,mae_percent,p95_abs_error_percent,mean_abs_current_A,mean_dynamic_intensity_A_per_s
Terminal-voltage lookup,Low,17020,4.950559272474614,3.4948809056123493,10.253023723963707,0.6990435728554641,0.1994580394278432
Terminal-voltage lookup,Medium,16892,6.501922453534265,4.790368814072831,13.102799697542448,0.9861535004735971,0.4240945023333054
Terminal-voltage lookup,High,19101,13.63301348325537,10.483855549704792,27.359224882377475,2.2538469153447465,1.2105653683161475
OCV-corrected CC,Low,17020,0.08487964739248423,0.06204827809327981,0.1503108616313489,0.6990435728554641,0.1994580394278432
OCV-corrected CC,Medium,16892,0.07815701777393262,0.062391158399667156,0.13852936425105736,0.9861535004735971,0.4240945023333054
OCV-corrected CC,High,19101,0.04059490423109255,0.029164306542090672,0.0775148789809954,2.2538469153447465,1.2105653683161475
Filtered-feature MLP,Low,16733,0.6223198115752168,0.511462005004004,1.1948100607442924,0.7109036652124545,0.2027972678506122
Filtered-feature MLP,Medium,16841,0.6664830897253915,0.5403499314523843,1.2746481774457799,0.9802730633572828,0.42382828195626376
Filtered-feature MLP,High,14632,0.5954128726790563,0.45039454720052524,1.2276466986652392,2.008607221159103,1.0410833525327547
Filtered CNN-LSTM Teacher,Low,16648,0.75882838823675,0.5546994162543327,1.6319147049476332,0.7134883637674194,0.20344439454499308
Filtered CNN-LSTM Teacher,Medium,16795,0.6781793214771543,0.4871178895861598,1.4592574247162926,0.980692941947008,0.4238813711648067
Filtered CNN-LSTM Teacher,High,14586,0.6480902581009899,0.47365259586691794,1.3301195223578208,2.0084711051693405,1.0413401607551989
